33, -128
67, -160
103, -96
137, -128
169, -188
205, -116
241, -148
277, -112
313, -80
349, -84
385, -20
419, -52
453, 16
486, 44
519, 60
552, 132
586, 28
620, 116
652, 140
688, 144
725, 144
761, 144
797, 32
833, 36
869, -60
901, -76
934, -40
970, -128
1006, -100
1041, -84
1074, -188
1107, -128
1141, -128
1173, -152
1208, -124
1244, -148
1280, -156
1316, -160
1352, -84
1385, -92
1418, -84
1454, -44
1490, -24
1526, 32
1561, 24
1594, 80
1627, 108
1661, 84
1694, 152
1727, 124
1763, 116
1800, 128
1836, 104
1868, 56
1902, 56
1938, 4
1973, -44
2009, -44
2041, -28
2075, -88
2107, -132
2141, -132
2174, -132
2210, -136
2247, -120
2281, -120
2314, -160
2350, -108
2385, -136
2421, -132
2457, -84
2497, -100
2533, -44
2565, -24
2598, -24
2632, 32
2669, 72
2705, 60
2739, 120
2771, 140
2807, 128
2840, 92
2873, 124
2909, 76
2945, 64
2981, 56
3013, 20
3046, -32
3079, 8
3112, -108
3146, -100
3182, -76
3218, -156
3255, -88
3291, -148
3323, -116
3357, -132
3393, -120
3429, -148
3464, -108
3497, -120
3530, -84
3564, -88
3600, -64
3636, -48
3673, -52
3707, 44
3745, 36
3781, 68
3817, 72
3853, 128
3888, 116
3924, 92
3960, 124
3993, 84
4026, 64
4059, 40
4096, 52
4130, -12
4162, -36
4198, -40
4230, -100
4265, -112
4300, -68
4336, -152
4372, -136
4404, -124
4437, -144
4471, -116
4503, -104
4537, -108
4574, -116
4610, -76
4646, -112
4682, -60
4718, -36
4754, -12
4790, 24
4826, 60
4858, 64
4892, 124
4924, 96
4957, 132
4991, 108
5023, 128
5058, 92
5094, 80
5130, 44
5166, 64
5202, 28
5238, -84
5274, -40
5310, -72
5346, -88
5380, -88
5414, -112
5447, -136
5481, -92
5517, -148
5553, -108
5589, -116
5626, -120
5662, -116
5698, -80
5737, -92
5770, -44
5804, -36
5838, 36
5871, 32
5904, 56
5937, 48
5971, 136
6005, 96
6037, 96
6073, 112
6110, 96
6146, 92
6182, 84
6217, 44
6253, 0
6287, 8
6321, -36
6355, -60
6388, -100
6424, -144
6459, -72
6492, -128
6527, -112
6564, -96
6600, -140
6635, -116
6671, -108
6703, -128
6737, -92
6770, -52
6803, -88
6837, -40
6873, -24
6909, 20
6945, 28
6981, 48
7018, 64
7053, 76
7089, 52
7125, 120
7161, 96
7193, 100
7227, 56
7260, 92
7292, 28
7326, 16
7362, 20
7396, -48
7430, -44
7465, -36
7501, -128
7537, -84
7573, -88
7609, -128
7645, -72
7679, -128
7713, -116
7746, -88
7779, -104
7816, -88
7852, -72
7888, -80
7920, -48
7955, -24
7991, -20
8025, -20
8057, 72
8090, 64
8122, 64
8155, 112
8188, 96
8223, 88
8257, 96
8290, 96
8323, 72
8355, 56
8390, 12
8424, 4
8456, -20
8493, -40
8529, -68
8564, -72
8600, -80
8636, -104
8672, -120
8706, -108
8740, -140
8773, -84
8807, -128
8839, -88
8873, -88
8908, -88
8940, -112
8976, -40
9012, -44
9048, -20
9084, 24
9120, 28
9156, 36
9189, 88
9224, 40
9257, 112
9290, 104
9325, 100
9359, 92
9394, 76
9426, 64
9462, 44
9494, -4
9534, -16
9570, -52
9606, -60
9641, -72
9675, -96
9707, -84
9743, -140
9779, -108
9813, -100
9849, -92
9886, -116
9918, -112
9952, -96
9985, -88
10019, -72
10054, -52
10090, -44
10126, -28
10160, -24
10195, 68
10228, 36
10261, 48
10293, 124
10327, 112
10362, 88
10395, 88
10430, 80
10462, 68
10496, 48
10532, 20
10568, 16
10603, -20
10637, -40
10669, -48
10702, -72
10735, -80
10767, -72
10801, -104
10835, -128
10872, -84
10906, -116
10944, -112
10980, -104
11016, -76
11048, -100
11081, -56
11116, -56
11150, -60
11184, -20
11219, 0
11251, 32
11285, 44
11321, 60
11356, 76
11389, 84
11425, 120
11459, 64
11492, 96
11524, 76
11558, 56
11590, 56
11624, 0
11660, 16
11695, -28
11727, -24
11763, -48
11796, -124
11829, -84
11865, -96
11814, -68
11847, -108
11880, -100
11917, -120
11953, -72
11989, -96
12026, -76
12062, -80
12098, -80
12134, -68
12170, -8
12203, -12
12238, -32
12271, 32
12304, 48
12340, 52
12377, 60
12413, 140
12450, 68
12486, 72
12522, 72
12558, 80
12594, 44
12629, -8
12665, 16
12697, -16
12731, -48
12764, -32
12797, -64
12830, -84
12867, -128
12901, -112
12940, -68
12976, -88
13012, -100
13047, -112
13083, -96
13116, -108
13151, -72
13185, -80
13221, -68
13254, -20
13291, -16
13325, -16
13364, 32
13400, 64
13436, 64
13471, 84
13506, 72
13543, 88
13579, 72
13615, 72
13647, 40
13680, 44
13713, 24
13746, -36
13779, 8
